,country,Code,Year,tertiary percentage,secondary percentage,primary percentage
300,Mexico,MEX,2000,6.84,69.9110870361328,98.7263565063477
301,Mexico,MEX,2005,8.41,79.23291015625,96.3365020751953
302,Mexico,MEX,2010,9.81,83.1858901977539,96.3921890258789
303,Moldova,MDA,2000,6.68,81.591423034668,100.0
304,Moldova,MDA,2005,6.57,88.0625228881835,95.2760391235352
305,Moldova,MDA,2010,8.76,87.9811325073242,91.5506820678711
306,Mongolia,MNG,1980,8.63,83.418327331543,96.4837265014648
307,Mongolia,MNG,1995,9.2,62.69551086425779,81.081298828125
308,Mongolia,MNG,2000,8.16,65.1185302734375,92.86084747314447
309,Mongolia,MNG,2005,15.61,90.290153503418,93.2742919921875
310,Mongolia,MNG,2010,19.66,91.5925521850585,99.4150238037109
311,Morocco,MAR,1975,0.59,13.1402196884155,40.87437057495121
312,Morocco,MAR,1980,0.7,20.7340202331543,55.7152900695801
313,Morocco,MAR,1985,2.21,30.4782390594482,62.4775581359863
314,Morocco,MAR,1990,2.98,37.1628189086914,55.84590148925779
315,Morocco,MAR,1995,3.69,37.9645004272461,63.35610961914061
316,Morocco,MAR,2000,4.07,38.449230194091705,79.79673767089841
317,Morocco,MAR,2005,4.67,49.8387489318848,86.8282012939453
318,Morocco,MAR,2010,5.35,62.692138671875,95.4454574584961
319,Mozambique,MOZ,1985,0.07,7.24485015869141,50.370521545410206
320,Mozambique,MOZ,1990,0.13,7.04563999176025,44.2381286621094
321,Mozambique,MOZ,1995,0.14,7.274419784545901,43.6166114807129
322,Mozambique,MOZ,2000,0.2,6.03520011901855,55.183719635009794
323,Mozambique,MOZ,2005,0.23,13.0960597991943,72.1879577636719
324,Mozambique,MOZ,2010,0.26,24.166019439697298,87.05188751220699
325,Myanmar,MMR,2000,2.94,36.30308151245121,89.9173965454102
326,Myanmar,MMR,2005,3.88,44.3096809387207,88.95819091796879
327,Myanmar,MMR,2010,5.15,48.141571044921896,87.7473373413086
328,Namibia,NAM,1990,1.29,37.974311828613295,79.4225616455078
329,Namibia,NAM,1995,1.24,55.535961151123,85.67259216308591
330,Namibia,NAM,2000,1.25,60.1695709228516,89.2378616333008
331,Namibia,NAM,2005,0.94,63.5293197631836,88.26715087890629
332,Nepal,NPL,2000,1.81,36.0210189819336,72.6118698120117
333,Netherlands,NLD,1975,4.79,85.360969543457,90.1392593383789
334,Netherlands,NLD,1980,6.19,91.40868377685553,91.77822875976558
335,Netherlands,NLD,1985,7.84,99.9876174926758,86.8729934692383
336,Netherlands,NLD,1990,9.69,118.482559204102,96.577392578125
337,Netherlands,NLD,1995,11.38,140.617858886719,99.8156127929688
338,Netherlands,NLD,2000,11.81,124.154800415039,99.5108184814453
339,Netherlands,NLD,2005,13.63,119.330368041992,98.3895034790039
340,Netherlands,NLD,2010,15.63,123.131759643555,99.8847503662109
341,New Zealand,NZL,1970,6.72,76.82688903808591,99.8987503051758
342,New Zealand,NZL,1975,9.29,80.73243713378909,99.540168762207
343,New Zealand,NZL,1980,12.47,81.1804428100585,99.4799575805664
344,New Zealand,NZL,1985,14.66,83.7359619140625,99.5652084350586
345,New Zealand,NZL,1990,16.71,88.6515884399414,99.5248565673828
346,New Zealand,NZL,1995,17.39,113.436470031738,98.3856430053711
347,New Zealand,NZL,2000,17.86,110.645477294922,99.4495315551758
348,New Zealand,NZL,2005,18.57,120.103271484375,99.60938262939447
349,New Zealand,NZL,2010,15.5,118.951629638672,99.85501098632808
350,Nicaragua,NIC,1970,5.18,16.9448299407958,52.4197006225586
351,Nicaragua,NIC,1975,6.02,23.468650817871104,57.5194511413574
352,Nicaragua,NIC,1980,7.73,37.6297607421875,64.3970565795898
353,Nicaragua,NIC,1985,8.14,30.026990890502898,66.06942749023439
354,Nicaragua,NIC,1990,8.16,37.0642318725586,67.51699066162111
355,Nicaragua,NIC,1995,8.37,46.474849700927706,73.4343338012695
356,Nicaragua,NIC,2000,9.28,53.1889305114746,85.9325408935547
357,Nicaragua,NIC,2005,9.32,68.7969970703125,99.3627319335938
358,Nicaragua,NIC,2010,10.33,74.188346862793,98.410530090332
359,Niger,NER,1990,0.29,6.24449014663696,23.452119827270497
360,Niger,NER,2000,0.42,6.94789981842041,27.381389617919897
361,Niger,NER,2005,0.47,9.9082202911377,41.8024101257324
362,Niger,NER,2010,0.51,13.5184497833252,55.7457084655762
363,Norway,NOR,1980,4.38,93.72244262695308,99.2033462524414
364,Norway,NOR,1985,5.55,97.20004272460942,96.4484481811523
365,Norway,NOR,1990,7.85,100.998153686523,99.7982711791992
366,Norway,NOR,1995,8.81,115.928916931152,98.2136917114258
367,Norway,NOR,2000,10.0,116.086853027344,99.8783721923828
368,Norway,NOR,2005,11.14,113.876167297363,98.7077484130859
369,Norway,NOR,2010,12.16,113.23055267334,99.1286468505859
370,Pakistan,PAK,2005,4.02,26.500059127807603,72.5798797607422
371,Pakistan,PAK,2010,4.43,35.848461151123,74.67796325683591
372,Panama,PAN,1970,2.1,37.4968910217285,74.3503112792969
373,Panama,PAN,1975,2.98,54.0663108825684,88.82968139648442
374,Panama,PAN,1980,3.57,61.148841857910206,88.1356201171875
375,Panama,PAN,1985,4.71,59.3905715942383,85.0399932861328
376,Panama,PAN,1990,5.91,58.923160552978494,86.61984252929692
377,Panama,PAN,2000,12.53,64.8470611572266,95.66210174560553
378,Panama,PAN,2005,13.51,68.217430114746,98.8638916015625
379,Panama,PAN,2010,14.37,71.34771728515629,98.51113891601558
380,Paraguay,PRY,1970,1.18,15.7305297851563,79.9347229003906
381,Paraguay,PRY,1975,1.37,19.0946407318115,78.9889297485352
382,Paraguay,PRY,1980,1.97,26.6743297576904,86.0501937866211
383,Paraguay,PRY,1985,2.53,30.8285694122314,87.8988494873047
384,Paraguay,PRY,1990,3.36,31.009580612182603,92.9712905883789
385,Paraguay,PRY,1995,3.44,41.358650207519496,91.7048568725586
386,Paraguay,PRY,2000,3.74,62.10958099365229,99.7382965087891
387,Paraguay,PRY,2005,1.51,66.9193115234375,97.4413299560547
388,Paraguay,PRY,2010,3.88,68.32354736328129,91.1596908569336
389,Peru,PER,1970,3.05,35.767551422119105,76.4767532348633
390,Peru,PER,1980,6.93,57.766628265380895,85.5749816894531
391,Peru,PER,1985,9.71,62.4128913879395,95.4254379272461
392,Peru,PER,1995,15.53,69.6036529541016,88.54273223876949
393,Peru,PER,2000,20.54,84.6955795288085,99.95327758789058
394,Peru,PER,2005,24.37,85.4473190307617,99.0872573852539
395,Peru,PER,2010,12.27,94.7000274658203,99.0449981689453
396,Philippines,PHL,1985,7.13,67.152473449707,94.4154510498047
397,Philippines,PHL,1990,6.73,71.9857177734375,98.4426498413086
398,Philippines,PHL,2005,5.94,82.8460693359375,90.1698226928711
399,Poland,POL,2000,6.16,99.246467590332,96.215950012207
400,Poland,POL,2005,9.78,98.4779434204102,95.1930389404297
401,Poland,POL,2010,11.37,96.7339401245117,97.2298583984375
402,Portugal,PRT,1980,1.36,53.8621711730957,96.1145477294922
403,Portugal,PRT,1990,2.88,60.1902198791504,99.72055053710942
404,Portugal,PRT,1995,3.77,103.375450134277,99.47103881835942
405,Portugal,PRT,2000,4.28,104.840591430664,97.5238876342773
406,Portugal,PRT,2005,3.04,98.02078247070308,99.6641387939453
407,Portugal,PRT,2010,3.26,106.947952270508,99.96865844726558
408,Qatar,QAT,1980,6.49,70.0658721923828,96.0963973999023
409,Qatar,QAT,1985,7.15,82.8292770385742,91.2491607666016
410,Qatar,QAT,1990,7.82,80.05638122558591,85.3366012573242
411,Qatar,QAT,2000,9.8,91.3932723999023,95.6881866455078
412,Qatar,QAT,2005,10.55,99.09982299804692,95.6985397338867
413,Qatar,QAT,2010,10.05,101.146118164063,95.0272827148438
414,Romania,ROU,1995,4.23,73.648078918457,87.73365020751949
415,Romania,ROU,2000,4.76,79.26947021484379,92.3099822998047
416,Romania,ROU,2005,6.31,83.7156295776367,98.6840667724609
417,Romania,ROU,2010,6.61,100.238693237305,94.95211791992192
418,Russia,RUS,1995,13.3,91.0644073486328,93.2501907348633
419,Rwanda,RWA,2010,0.53,32.7618598937988,98.50698852539058
420,Senegal,SEN,1980,0.57,10.8183097839355,34.6009216308594
421,Senegal,SEN,1985,0.68,12.5563497543335,40.683689117431605
422,Senegal,SEN,1990,0.74,15.1707696914673,44.6819000244141
423,Senegal,SEN,2000,0.53,15.8472995758057,57.827709197998
424,Senegal,SEN,2005,0.29,22.0166893005371,63.7629203796387
425,Senegal,SEN,2010,1.25,35.5976982116699,70.7436218261719
426,Serbia,SRB,2005,8.47,88.5904083251953,99.7035903930664
427,Serbia,SRB,2010,8.97,91.4276275634766,94.9187164306641
428,Slovenia,SVN,1995,7.22,89.9899520874023,92.86260986328128
429,Slovenia,SVN,2000,7.99,100.932792663574,95.5391693115234
430,Slovenia,SVN,2005,10.68,97.1232528686523,99.5034713745117
431,Slovenia,SVN,2010,13.25,97.85897827148442,98.1688919067383
432,South Africa,ZAF,2000,0.53,87.2935104370117,91.9256134033203
433,South Africa,ZAF,2005,0.36,88.91317749023442,88.57565307617192
434,South Korea,KOR,1975,3.47,54.3863410949707,96.4100112915039
435,South Korea,KOR,1980,4.76,76.8452606201172,99.8727264404297
436,South Korea,KOR,1985,7.18,90.5755767822266,98.5132675170898
437,South Korea,KOR,1990,9.4,92.6181411743164,99.3755264282227
438,South Korea,KOR,1995,12.9,101.255981445313,98.798210144043
439,South Korea,KOR,2000,19.08,98.3932495117188,99.7558212280273
440,South Korea,KOR,2005,22.09,93.22036743164058,99.7464981079102
441,South Korea,KOR,2010,30.04,96.0797882080078,99.5599517822266
442,Spain,ESP,1975,3.3,65.98651123046879,99.4770889282227
443,Spain,ESP,1980,4.59,84.8491897583008,99.1638870239258
444,Spain,ESP,1985,4.57,91.3823471069335,99.7978897094727
445,Spain,ESP,1990,4.23,101.15837097168,99.22608184814447
446,Spain,ESP,1995,8.01,114.151359558105,99.96054077148442
447,Spain,ESP,2000,10.69,110.268508911133,99.84323120117192
448,Spain,ESP,2005,13.53,117.513137817383,99.8574066162109
449,Spain,ESP,2010,14.96,124.384063720703,99.78170776367192
450,Sri Lanka,LKA,2010,8.51,96.9323577880859,95.0441513061523
451,Sweden,SWE,1990,10.61,89.71539306640629,99.55689239501947
452,Sweden,SWE,1995,11.6,130.814346313477,98.8409576416016
453,Sweden,SWE,2000,13.51,151.90774536132798,99.63784790039058
454,Sweden,SWE,2005,14.32,104.11051940918,95.67587280273442
455,Sweden,SWE,2010,14.93,98.1906585693359,99.63607788085942
456,Switzerland,CHE,1985,7.23,94.693748474121,76.14630126953129
457,Switzerland,CHE,1990,8.77,95.6798706054688,83.32286071777341
458,Switzerland,CHE,1995,9.83,101.320541381836,88.9908218383789
459,Switzerland,CHE,2000,10.02,95.4123382568359,99.664192199707
460,Switzerland,CHE,2005,12.8,95.1818237304688,98.28173828125
461,Switzerland,CHE,2010,17.88,95.861473083496,99.2678604125977
462,Syria,SYR,1975,0.91,43.421260833740206,83.818962097168
463,Syria,SYR,1980,1.6,47.6923408508301,85.9394302368164
464,Syria,SYR,1985,2.06,54.904239654540994,90.01197052001949
465,Syria,SYR,1990,2.36,50.8008499145508,94.9770278930664
466,Syria,SYR,1995,2.27,42.9667015075684,96.4714736938477
467,Syria,SYR,2000,1.9,43.989959716796896,96.86212158203128
468,Syria,SYR,2005,2.33,69.97216796875,99.2025833129883
469,Syria,SYR,2010,2.55,72.8570022583008,98.9318008422852
470,Tajikistan,TJK,2000,4.1,73.2005920410156,95.4670181274414
